68.2415 	EXP 	dots: coherence = 0.099763115748443987
68.2415 	EXP 	dots: dir = -90.0
68.2415 	EXP 	fixation: autoDraw = True
68.7608 	EXP 	dots: autoDraw = True
69.3156 	DATA 	Keypress: down
69.3277 	EXP 	dots: autoDraw = False
69.3277 	EXP 	fixation: autoDraw = False
69.3277 	EXP 	dots: coherence = 0.079244659623055672
69.3277 	EXP 	dots: dir = -90.0
69.3277 	EXP 	fixation: autoDraw = True
69.8470 	EXP 	dots: autoDraw = True
70.8314 	EXP 	dots: autoDraw = False
70.8340 	DATA 	Keypress: down
70.8485 	EXP 	dots: autoDraw = False
70.8485 	EXP 	fixation: autoDraw = False
70.8485 	EXP 	dots: coherence = 0.079244659623055672
70.8485 	EXP 	dots: dir = -90.0
70.8485 	EXP 	fixation: autoDraw = True
71.3677 	EXP 	dots: autoDraw = True
72.1674 	DATA 	Keypress: down
72.1859 	EXP 	dots: autoDraw = False
72.1859 	EXP 	fixation: autoDraw = False
72.1859 	EXP 	dots: coherence = 0.079244659623055672
72.1859 	EXP 	dots: dir = -90.0
72.1859 	EXP 	fixation: autoDraw = True
72.7046 	EXP 	dots: autoDraw = True
73.3083 	DATA 	Keypress: down
73.3220 	EXP 	dots: autoDraw = False
73.3220 	EXP 	fixation: autoDraw = False
73.3220 	EXP 	dots: coherence = 0.06294627058970835
73.3220 	EXP 	dots: dir = 90.0
73.3220 	EXP 	fixation: autoDraw = True
73.8411 	EXP 	dots: autoDraw = True
74.1449 	DATA 	Keypress: escape
